product_name,product_price,Rate,Review,Review_l,Clean_Sentiment
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,5,super!,6,positive
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,5,awesome,7,positive
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,3,fair,4,positive
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,1,uselessproduct,14,negative
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,3,fair,4,neutral
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,5,highlyrecommended,17,positive
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,3,nice,4,positive
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,1,unsatisfactory,14,negative
"Candes12LRoom/PersonalAirCooler(White,Black,ElegantHighSpeed-HoneyCombCoolingPad&IceChamber,Blower)",3999.0,4,worththemoney,13,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,greatproduct,12,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,mind-blowingpurchase,20,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,highlyrecommended,17,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,brilliant,9,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,classyproduct,13,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,mustbuy!,8,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,fabulous!,9,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,wortheverypenny,15,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,super!,6,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,awesome,7,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,justwow!,8,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,terrificpurchase,16,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,excellent,9,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,terrific,8,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,simplyawesome,13,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,4,wonderful,9,positive
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,2,expectedabetterproduct,22,negative
"Candes60LRoom/PersonalAirCooler(White,Black,CRETA)",8999.0,5,wonderful,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,wonderful,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,goodqualityproduct,18,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,awesome,7,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,excellent,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,greatproduct,12,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,highlyrecommended,17,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,decentproduct,13,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,fabulous!,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,verysatisfactory,16,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,mind-blowingpurchase,20,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,wasteofmoney!,13,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,mustbuy!,8,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,goodnotbest,11,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,doesthejob,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,nice,4,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,worththemoney,13,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,prettygood,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,goodcooler,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,wonderful,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,worthless,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,brilliant,9,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,super!,6,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,worstexperienceever!,20,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,perfectproduct!,15,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,simplyawesome,13,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,niceproduct,11,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,uselessproduct,14,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,notgood,7,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,verygood,8,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,terrificpurchase,16,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,slightlydisappointed,20,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,expectedabetterproduct,22,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,horrible,8,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,nice,4,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,verypoor,8,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,uselessproduct,14,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,unsatisfactory,14,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,reallynice,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,bestinthemarket!,16,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,classyproduct,13,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,absoluterubbish!,16,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,terrific,8,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,justokay,8,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,perfectproduct!,15,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,badquality,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,worstexperienceever!,20,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,justwow!,8,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,worthless,9,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,wortheverypenny,15,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,absoluterubbish!,16,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,justokay,8,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,delightful,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,worstexperienceever!,20,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,value-for-money,15,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,goodchoice,10,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,decentproduct,13,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,hatedit!,8,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,fair,4,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,good,4,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,terribleproduct,15,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,notrecommendedatall,19,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,didnotmeetexpectations,22,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,decentproduct,13,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,badlydisappointed,17,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,good,4,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,terribleproduct,15,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,5,mind-blowingpurchase,20,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,unsatisfactory,14,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,1,utterlydisappointed,19,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,3,doesthejob,10,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,notgood,7,positive
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,2,moderate,8,negative
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,wonderful,9,neutral
"MAHARAJAWHITELINE65LDesertAirCooler(White,Grey,RamboGrey/AC-303)",7999.0,4,reallynice,10,neutral
